time, realDorsalTactorPos, realVentralTactorPos, boxPosX, boxPosY, boxPosZ, indexPosX, indexPosY, indexPosZ, indexContact, indexForceX, indexForceY, indexForceZ, indexForceGlobalX, indexForceGlobalY, indexForceGlobalZ, thumbPosX, thumbPosY, thumbPosZ, thumbContact, thumbForceX, thumbForceY, thumbForceZ, thumbForceGlobalX, thumbForceGlobalY, thumbForceGlobalZ, hoopSuccess, targetSuccess, trialSuccess, 
68.3822629, 11.6, 7, 0.112790573, 0.168881543, -0.118611944, 0.101578125, 0.159808569, -0.117909717, 1, -1.24706718, 1.97704979, 2.6200507, -0.716755166, -2.03394998, 2.77089833, 0.112448389, 0.182121143, -0.141137256, 1, 1.77610922, -0.683497478, 1.20319813, 1.78666775, 1.36943578, 0.0433878053, 1, 0, 0, 
68.3837446, 11.6, 7, 0.112598298, 0.169135438, -0.117766492, 0.101285669, 0.160251733, -0.115358838, 1, -1.53709013, 1.71371929, 1.97650976, -0.659512589, -2.16218214, 2.02387802, 0.111841016, 0.182868994, -0.138543262, 1, 2.1758306, -0.750540115, 0.48674192, 1.91471525, 1.14958553, -0.739449509, 1, 0, 0, 
68.3852147, 11.5, 7, 0.112405622, 0.169385279, -0.116925737, 0.101285669, 0.160251733, -0.115358838, 1, -1.33515591, 1.88428041, 2.29496655, -0.714884608, -2.05845878, 2.41903139, 0.111841016, 0.182868994, -0.138543262, 1, 1.95580545, -0.654188742, 0.837132864, 1.78027436, 1.28674539, -0.358941248, 1, 0, 0, 
68.3866978, 11.5, 7, 0.112210602, 0.169633779, -0.116080603, 0.101285669, 0.160251733, -0.115358838, 1, -1.13524328, 2.05475855, 2.60817648, -0.770216379, -1.95642865, 2.80936794, 0.111841016, 0.182868994, -0.138543262, 1, 1.73798797, -0.560302701, 1.18256613, 1.64752178, 1.42070251, 0.016743424, 1, 0, 0, 
68.3882202, 11.5, 7, 0.112009922, 0.169885053, -0.115216208, 0.100770581, 0.160900439, -0.112796362, 1, -1.52500688, 1.70882592, 2.02116881, -0.610595506, -2.16927494, 2.06210443, 0.111065088, 0.183413867, -0.135932666, 1, 2.19805755, -0.64321797, 0.513364265, 1.83052141, 1.25583818, -0.76209649, 1, 0, 0, 
68.3899689, 11.4, 7, 0.111776093, 0.170172018, -0.114215221, 0.100770581, 0.160900439, -0.112796362, 1, -1.29636135, 1.9067356, 2.37516388, -0.675009618, -2.05375926, 2.50679712, 0.111065088, 0.183413867, -0.135932666, 1, 1.94923421, -0.539912229, 0.902732624, 1.68049685, 1.40300455, -0.3368293, 1, 0, 0, 
68.3918153, 11.4, 6.9, 0.111524991, 0.170473559, -0.113147892, 0.100770581, 0.160900439, -0.112796362, 1, -1.04051463, 2.12929644, 2.77222802, -0.747857511, -1.9265663, 3.0051412, 0.110265967, 0.184178564, -0.13311543, 1, 2.37150106, -0.638325642, 0.20318872, 1.84909772, 1.19000762, -1.11242169, 1, 0, 0, 
68.3937072, 11.4, 6.9, 0.111263856, 0.170780398, -0.112045026, 0.100338257, 0.161355078, -0.110518042, 1, -1.27327604, 1.88994366, 2.35712647, -0.645824732, -2.04345721, 2.48120074, 0.110265967, 0.184178564, -0.13311543, 1, 2.08842342, -0.518315619, 0.655191352, 1.67758699, 1.36482917, -0.618370764, 1, 0, 0, 
68.3955963, 11.4, 6.9, 0.111000126, 0.17108418, -0.110934567, 0.100030176, 0.161987549, -0.10817478, 1, -1.56533692, 1.69287054, 1.91607203, -0.587946311, -2.21272343, 1.93535437, 0.110265967, 0.184178564, -0.13311543, 1, 2.34768961, -0.621731501, 0.180075112, 1.80803671, 1.18999077, -1.11604158, 1, 0, 0, 
68.3972922, 11.4, 6.9, 0.110760683, 0.171356014, -0.109926887, 0.100030176, 0.161987549, -0.10817478, 1, -1.32160187, 1.90768218, 2.29314561, -0.659399361, -2.09727282, 2.41060964, 0.109563623, 0.184922998, -0.130867578, 1, 2.0750919, -0.509223026, 0.615561757, 1.64382596, 1.35385504, -0.639643242, 1, 0, 0, 
68.398793, 11.4, 6.8, 0.110549248, 0.171593139, -0.109037247, 0.100030176, 0.161987549, -0.10817478, 1, -1.11240835, 2.09253453, 2.61508844, -0.721242485, -1.99911922, 2.81747622, 0.109563623, 0.184922998, -0.130867578, 1, 1.84196226, -0.415498655, 0.988752729, 1.50407807, 1.49243498, -0.231264028, 1, 0, 0, 
68.4002535, 11.4, 6.8, 0.110344166, 0.171820515, -0.108174106, 0.0995042236, 0.162579248, -0.10561084, 1, -1.50183581, 1.73621303, 2.04396436, -0.563249005, -2.20027232, 2.07105989, 0.108925977, 0.185452734, -0.128429688, 1, 2.22740433, -0.460476273, 0.384909151, 1.63333247, 1.34664954, -0.91666981, 1, 0, 0, 
68.4015931, 11.3, 6.8, 0.110156953, 0.172026, -0.107384914, 0.0995042236, 0.162579248, -0.10561084, 1, -1.31599545, 1.90116324, 2.32644565, -0.619363764, -2.11397918, 2.430246, 0.108925977, 0.185452734, -0.128429688, 1, 2.02269837, -0.382211456, 0.714000221, 1.51360518, 1.4652802, -0.5560071, 1, 0, 0, 
68.4029751, 11.3, 6.8, 0.109965437, 0.172234132, -0.106576061, 0.0995042236, 0.162579248, -0.10561084, 1, -1.1313261, 2.065434, 2.60532832, -0.675787692, -2.02864738, 2.78595636, 0.108925977, 0.185452734, -0.128429688, 1, 1.8205993, -0.307768354, 1.03932011, 1.3968938, 1.58066213, -0.199209516, 1, 0, 0, 
68.4043098, 11.4, 6.7, 0.109782465, 0.172430969, -0.105801768, 0.0995042236, 0.162579248, -0.10561084, 1, -0.942414533, 2.23366348, 2.88962057, -0.734529925, -1.9415378, 3.14931762, 0.108925977, 0.185452734, -0.128429688, 1, 1.61492645, -0.235098183, 1.37105744, 1.28038328, 1.69602039, 0.164895721, 1, 0, 0, 
68.4057245, 11.3, 6.7, 0.10959062, 0.172635362, -0.104988206, 0.0988445068, 0.163211597, -0.103100366, 1, -1.38135245, 1.81423761, 2.33162652, -0.512237846, -2.17438943, 2.37607195, 0.108278809, 0.186177148, -0.125597559, 1, 2.09333304, -0.308103473, 0.533501559, 1.44724619, 1.44841154, -0.754438432, 1, 0, 0, 
68.4073879, 11.3, 6.7, 0.109364391, 0.172874089, -0.104025882, 0.0985723145, 0.163628882, -0.1007875, 1, -1.63982924, 1.5976723, 1.83660889, -0.477826945, -2.28532326, 1.77868152, 0.108278809, 0.186177148, -0.125597559, 1, 2.54046101, -0.493265773, -0.0354601083, 1.73811987, 1.29554152, -1.41386781, 1, 0, 0, 
68.4090686, 11.3, 6.6, 0.10913369, 0.173114597, -0.103042119, 0.0985723145, 0.163628882, -0.1007875, 1, -1.40688122, 1.80613483, 2.1789166, -0.551772786, -2.17947189, 2.22138795, 0.107254834, 0.186658057, -0.123126953, 1, 2.29232334, -0.412056445, 0.365546251, 1.60328288, 1.42911819, -0.972247943, 1, 0, 0, 
68.4107739, 11.3, 6.6, 0.108898196, 0.173356778, -0.102036454, 0.0985723145, 0.163628882, -0.1007875, 1, -1.16961201, 2.01920917, 2.52815213, -0.626956001, -2.07292874, 2.67332073, 0.107254834, 0.186658057, -0.123126953, 1, 2.03842901, -0.329778029, 0.775996047, 1.46502727, 1.56503437, -0.520075716, 1, 0, 0, 
68.4124517, 11.3, 6.6, 0.108666548, 0.173591836, -0.10104566, 0.098106665, 0.164433569, -0.0982491943, 1, -1.6092748, 1.70920574, 2.02154222, -0.492917924, -2.33155683, 1.97955987, 0.107254834, 0.186658057, -0.123126953, 1, 2.34794063, -0.496888824, 0.239478996, 1.6758763, 1.3588442, -1.07798653, 1, 0, 0, 
68.413986, 11.2, 6.6, 0.108453359, 0.173806178, -0.100133712, 0.098106665, 0.164433569, -0.0982491943, 1, -1.38140311, 1.91475258, 2.35368977, -0.565132479, -2.23080824, 2.4121624, 0.106455811, 0.187355615, -0.120876416, 1, 2.10653668, -0.420097905, 0.630900861, 1.54542336, 1.48514636, -0.646546114, 1, 0, 0, 
68.4153195, 11.3, 6.6, 0.108268895, 0.173990138, -0.0993450873, 0.098106665, 0.164433569, -0.0982491943, 1, -1.19195767, 2.08611018, 2.62855646, -0.625341908, -2.14751117, 2.77111369, 0.106455811, 0.187355615, -0.120876416, 1, 1.90632238, -0.357531041, 0.955407835, 1.43746165, 1.58903928, -0.288714003, 1, 0, 0, 
68.4166464, 11.3, 6.6, 0.108087151, 0.174169906, -0.0985684879, 0.098106665, 0.164433569, -0.0982491943, 1, -1.00569391, 2.25500977, 2.89751939, -0.685067665, -2.06590946, 3.12326885, 0.106455811, 0.187355615, -0.120876416, 1, 1.71022535, -0.298078467, 1.27344416, 1.33282219, 1.68970277, 0.0622181252, 1, 0, 0, 
68.4180019, 11.3, 6.5, 0.107902272, 0.174350926, -0.0977802696, 0.0972644775, 0.164811548, -0.0957589844, 1, -1.38398023, 1.76746361, 2.38848173, -0.402347435, -2.2234628, 2.37455335, 0.105741992, 0.188056592, -0.118012061, 1, 2.19753093, -0.3970907, 0.423744319, 1.53222752, 1.43886896, -0.865053402, 1, 0, 0, 
68.419366, 11.3, 6.5, 0.107715896, 0.174531441, -0.0969881949, 0.0972644775, 0.164811548, -0.0957589844, 1, -1.61485009, 1.53980699, 1.83290891, -0.396950428, -2.28285751, 1.72316377, 0.105741992, 0.188056592, -0.118012061, 1, 1.9980101, -0.338368005, 0.747891599, 1.42751006, 1.53981293, -0.507020947, 1, 0, 0, 
68.4207127, 11.2, 6.5, 0.107531278, 0.174708348, -0.0962045131, 0.0970622314, 0.165025366, -0.0934901855, 1, -1.42581219, 1.71099485, 2.09866331, -0.458312686, -2.20167768, 2.07542678, 0.104934424, 0.188519189, -0.115784229, 1, 2.39050351, -0.485263962, 0.173068106, 1.66242114, 1.37894838, -1.14664642, 1, 0, 0, 
68.4220449, 11.2, 6.5, 0.107347921, 0.174882081, -0.0954270935, 0.0970622314, 0.165025366, -0.0934901855, 1, -1.23825116, 1.88133577, 2.36304156, -0.518903366, -2.12197713, 2.4258211, 0.104934424, 0.188519189, -0.115784229, 1, 2.19631784, -0.425571346, 0.490937975, 1.55847565, 1.47764343, -0.796031831, 1, 0, 0, 
68.423749, 11.2, 6.5, 0.107113195, 0.175101468, -0.0944331963, 0.0970622314, 0.165025366, -0.0934901855, 1, -1.0090016, 2.09036183, 2.68629515, -0.592872152, -2.02578222, 2.85457308, 0.104934424, 0.188519189, -0.115784229, 1, 1.95803408, -0.35293513, 0.881113836, 1.43047047, 1.59844808, -0.365431517, 1, 0, 0, 
68.4254193, 11.2, 6.5, 0.106881396, 0.175315067, -0.093453182, 0.0966482178, 0.165638794, -0.0909993652, 1, -1.38871437, 1.79934605, 2.18300273, -0.491355767, -2.22160322, 2.18053282, 0.104153467, 0.188975195, -0.113549805, 1, 2.29245512, -0.472276875, 0.387070847, 1.62478433, 1.46745751, -0.91370899, 1, 0, 0, 
68.427124, 11.2, 6.5, 0.106642888, 0.175532041, -0.0924464472, 0.0966482178, 0.165638794, -0.0909993652, 1, -1.14724413, 2.0202193, 2.52169784, -0.567974382, -2.12298925, 2.63186946, 0.104153467, 0.188975195, -0.113549805, 1, 2.04229286, -0.393520236, 0.798897024, 1.48771136, 1.59357573, -0.459658604, 1, 0, 0, 
68.4288214, 11.2, 6.5, 0.106405411, 0.175745112, -0.0914456612, 0.0966482178, 0.165638794, -0.0909993652, 1, -0.909186973, 2.23865308, 2.8550464, -0.643379106, -2.02681762, 3.07693877, 0.104153467, 0.188975195, -0.113549805, 1, 1.79555971, -0.317243324, 1.20433858, 1.35241929, 1.7163682, -0.0123161446, 1, 0, 0, 
